phase,dataset,method,budget,mean_relative_error,median_query_mean_error,p90_query_mean_error,se_query_cluster,median_latency_ms,p90_latency_ms,mean_actual_samples,mean_kernel_evaluations,mean_full_dimension_distances_or_dots,low_dim_score_evaluations,observations,queries
test,amazon,deann,128,0.058211633140340543,0.05886205275104214,0.08192689701204045,0.0014060978670426703,2.163486,2.2119709,128.0,140.572,863.442,0.0,1000,200
test,amazon,deann,256,0.020390569274268622,0.019731097774691432,0.032041966733879275,0.0006183275807992671,3.3231625,3.561178,256.0,311.284,1034.154,0.0,1000,200
test,amazon,deann,512,0.004709005299076702,0.004602850069247595,0.007509175735688606,0.0001371985308746825,7.327857,7.8385527,512.0,794.39,1517.26,0.0,1000,200
test,amazon,exact,0,0.0,0.0,0.0,0.0,2.901894,3.1283778,720.0,720.0,720.0,0.0,200,200
test,amazon,exact_annular,32,0.10596769619728853,0.10277874304981391,0.1538838629218448,0.0030580309635310785,2.551247,3.2896229,32.0,32.0,720.0,0.0,1000,200
test,amazon,exact_annular,64,0.07335856946688003,0.0713123163786806,0.1102499354231077,0.0021803878231326157,2.517496,2.6012905,64.0,64.0,720.0,0.0,1000,200
test,amazon,exact_annular,128,0.050290650748593485,0.049525168954921636,0.07512017617302083,0.0014373362460143701,2.5174765,2.6084543000000004,128.0,128.0,720.0,0.0,1000,200
test,amazon,exact_annular,256,0.03047132904998701,0.029772357048158053,0.04747614332966745,0.0009272909387670912,2.51959,2.6165132,256.0,256.0,720.0,0.0,1000,200
test,amazon,exact_annular,512,0.014976337467173563,0.014744886187780838,0.023559697205949148,0.0004445754451277413,2.5272225,2.6227951000000003,512.0,512.0,720.0,0.0,1000,200
test,amazon,final,32,0.17233400235962085,0.17279839275146827,0.2653888005059169,0.004798196817837547,0.7108505,0.8291018,32.0,32.0,96.0,720.0,1000,200
test,amazon,final,64,0.11358818015391439,0.11083695864668665,0.1740074476367393,0.0032541966991533364,0.955408,1.0305742,64.0,64.0,128.0,720.0,1000,200
test,amazon,final,128,0.06763445121386857,0.0665611716348482,0.10369223065146875,0.00194964047687347,1.47688,1.6687549000000002,128.0,128.0,192.0,720.0,1000,200
test,amazon,final,256,0.03494131004400443,0.033608631809741524,0.053745978590059966,0.0010640052102473508,2.711772,3.0665028000000003,256.0,256.0,320.0,720.0,1000,200
test,amazon,final,512,0.012603133342348197,0.01206153770967099,0.0198779606428157,0.0004257852186053757,16.9340555,19.5373752,512.0,512.0,576.0,720.0,1000,200
test,amazon,matched_neyman,32,0.28190310909279326,0.2773210061429616,0.4155218452164378,0.007426203236608892,1.011402,1.0888581000000002,32.0,32.0,96.0,720.0,1000,200
test,amazon,matched_neyman,64,0.12208966631232172,0.12052330114635058,0.19161355357791085,0.003616961950334201,1.3107055,1.3467538000000001,64.0,64.0,128.0,720.0,1000,200
test,amazon,matched_neyman,128,0.06817529002965653,0.06724218337513951,0.10028026541894322,0.0019029158402276106,1.8389395,1.9459686,128.0,128.0,192.0,720.0,1000,200
test,amazon,matched_neyman,256,0.035471906038791204,0.03613124965358121,0.05239972286483762,0.001113152529907468,2.987096,3.2434376,256.0,256.0,320.0,720.0,1000,200
test,amazon,matched_neyman,512,0.012163616117800504,0.011179267794492232,0.019335841192050958,0.0004564679071886489,5.759848,6.4220383,512.0,512.0,576.0,720.0,1000,200
test,amazon,matched_proportional,32,0.17233400235962085,0.17279839275146827,0.2653888005059169,0.004798196817837547,0.7108505,0.8291018,32.0,32.0,96.0,720.0,1000,200
test,amazon,matched_proportional,64,0.11358818015391439,0.11083695864668665,0.1740074476367393,0.0032541966991533364,0.955408,1.0305742,64.0,64.0,128.0,720.0,1000,200
test,amazon,matched_proportional,128,0.06763445121386857,0.0665611716348482,0.10369223065146875,0.00194964047687347,1.47688,1.6687549000000002,128.0,128.0,192.0,720.0,1000,200
test,amazon,matched_proportional,256,0.03494131004400443,0.033608631809741524,0.053745978590059966,0.0010640052102473508,2.711772,3.0665028000000003,256.0,256.0,320.0,720.0,1000,200
test,amazon,matched_proportional,512,0.012603133342348197,0.01206153770967099,0.0198779606428157,0.0004257852186053757,16.9340555,19.5373752,512.0,512.0,576.0,720.0,1000,200
test,amazon,matched_single,32,0.21404744187456243,0.19836623624411734,0.3603307973931554,0.006937795752750959,0.6028865,0.6713207,32.0,32.0,96.0,720.0,1000,200
test,amazon,matched_single,64,0.14035060089589405,0.1356660338519255,0.21949313337106563,0.0042035648902733385,0.8588445,0.9349612,64.0,64.0,128.0,720.0,1000,200
