phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
audit,isolet,512,final,uniform_mc,-0.11763190951377417,-0.1321388578829022,-0.10455111269403562,0.8279555424090512,0.8049590247842469,0.8484698262088384,200,1000,20260916
audit,isolet,512,final,deann,-0.0016317974226053849,-0.00411319864275936,0.0005709718960209791,0.06258082173860369,-0.02365998972765056,0.14591424074178228,200,1000,20260916
audit,isolet,512,final,matched_single,-0.005407799267566578,-0.007368360672584478,-0.0033732829706756905,0.18115948238098845,0.11834317262990618,0.23367948141157163,200,1000,20260916
audit,isolet,512,final,matched_neyman,0.004164370694625039,0.0027588131511713018,0.005675195125509488,-0.20535514712966263,-0.28611158636949396,-0.1336809707528119,200,1000,20260916
test,amazon,32,final,current_approx,-0.06255955281111245,-0.12089791549276159,-0.021542511586900088,0.2663314996686087,0.1065998525771809,0.4155466222122807,200,1000,20260916
test,amazon,32,final,uniform_mc,-0.08158761967851323,-0.13605199834418774,-0.04135896477836675,0.32131024929519547,0.18897529814523564,0.4451901287024555,200,1000,20260916
test,amazon,32,final,deann,-0.02579708186780324,-0.03709063325051771,-0.01429753565374908,0.13020209306578157,0.07473854921039848,0.18092633754521378,200,1000,20260916
test,amazon,32,final,matched_single,-0.04171343951494158,-0.05486775918959004,-0.027686383113295444,0.19487941154366517,0.13817183603192307,0.24552163990265374,200,1000,20260916
test,amazon,32,final,matched_neyman,-0.10956910673317242,-0.12320435039686228,-0.09538217240695443,0.3886764749980316,0.3518001168274877,0.4230280259275163,200,1000,20260916
test,amazon,64,final,current_approx,-0.07801225336324237,-0.11955052449229613,-0.045574247693183814,0.40716115267169684,0.27966547602201103,0.522068683041993,200,1000,20260916
test,amazon,64,final,uniform_mc,-0.09395241596948095,-0.15065238049773666,-0.05058295373019577,0.45269416068180035,0.30441438978550506,0.5816836380225748,200,1000,20260916
test,amazon,64,final,deann,-0.0035326874878199065,-0.011327785400337033,0.004375162676309295,0.030162750318979747,-0.03904194098656228,0.09396225186033141,200,1000,20260916
test,amazon,64,final,matched_single,-0.02676242074197968,-0.036121510158314586,-0.01753300122797649,0.1906826231676121,0.13027045057874528,0.24663097813039267,200,1000,20260916
test,amazon,64,final,matched_neyman,-0.00850148615840735,-0.01705029658076313,-0.00029951323953158896,0.06963313452474673,0.002576477433460334,0.1332653551108678,200,1000,20260916
test,amazon,128,final,current_approx,-0.11687414933444762,-0.16426024544310125,-0.07715468063629659,0.6334346961991209,0.5218741000786885,0.7132292643148288,200,1000,20260916
test,amazon,128,final,uniform_mc,-0.08010080651989206,-0.12139598982655644,-0.04496225877232306,0.5421915374070337,0.3956304725398075,0.6498288352312628,200,1000,20260916
test,amazon,128,final,deann,0.009422818073528043,0.0053866771753440686,0.013398857133723695,-0.16187173534215882,-0.23662868121246491,-0.09150915453806449,200,1000,20260916
test,amazon,128,final,matched_single,-0.01450243524684995,-0.019407554204030314,-0.00997342373204201,0.17656421946046919,0.12623011177848453,0.22683820252463635,200,1000,20260916
test,amazon,128,final,matched_neyman,-0.0005408388157879337,-0.005195255892307004,0.004023186696917761,0.007933062192367224,-0.06222148760336218,0.07343249273543237,200,1000,20260916
test,amazon,256,final,current_approx,-0.10957111481843969,-0.14195621652453216,-0.08048444568221433,0.7582124161485511,0.6936100120881062,0.8059446435906517,200,1000,20260916
test,amazon,256,final,uniform_mc,-0.07333233725987559,-0.11016318286942164,-0.04100800103289954,0.6772870323104716,0.528522364788627,0.7632725632040365,200,1000,20260916
test,amazon,256,final,deann,0.014550740769735815,0.012369271584632814,0.016765459968982106,-0.7136014975363028,-0.8363740200285535,-0.5897861633275164,200,1000,20260916
test,amazon,256,final,matched_single,-0.007887551341661695,-0.010615044685734371,-0.0049930702265517145,0.1841643949073437,0.12163670932200477,0.23834356227441805,200,1000,20260916
test,amazon,256,final,matched_neyman,-0.0005305959947867774,-0.0030265725153497377,0.0021088589599595597,0.014958203661414093,-0.060000837758623624,0.08198901397998778,200,1000,20260916
test,amazon,512,final,current_approx,-0.09089041324115268,-0.1079006169384106,-0.07382042644737724,0.8782230027050072,0.8523784935547252,0.8968285395645698,200,1000,20260916
test,amazon,512,final,uniform_mc,-0.03491160738979592,-0.047923566591605855,-0.023726507308092507,0.7347531913644206,0.6491936665218262,0.7968643786689987,200,1000,20260916
test,amazon,512,final,deann,0.007894128043271494,0.007198300862909389,0.008635649832082676,-1.6763897133051233,-1.852532605516614,-1.510021122534036,200,1000,20260916
test,amazon,512,final,matched_single,-0.0024044668767636587,-0.0033678571988437324,-0.0014941906546014367,0.1602166130266196,0.10488749283354455,0.21717083168296958,200,1000,20260916
test,amazon,512,final,matched_neyman,0.00043951722454769066,-0.00033596539380183497,0.0012475839883871619,-0.03613376320751316,-0.11025829339347876,0.02754647729283411,200,1000,20260916
test,cifar10,32,final,current_approx,-0.13459850212904506,-0.16396927831879968,-0.10691164230128462,0.31313961624562237,0.26088932546230725,0.3616214755055728,200,1000,20260916
test,cifar10,32,final,uniform_mc,-0.12632598967457828,-0.16911873258811427,-0.08998951561098384,0.29966105629695683,0.22966472484016948,0.3674713572840832,200,1000,20260916
test,cifar10,32,final,deann,-0.08275578404388086,-0.1069365235732205,-0.05829261947827461,0.21893486584450383,0.161615173196049,0.2752528446616505,200,1000,20260916
test,cifar10,32,final,matched_single,-0.11595721530978778,-0.14440658219622377,-0.0881846803087738,0.2820011343922655,0.22602840319930514,0.33435800759931317,200,1000,20260916
test,cifar10,32,final,matched_neyman,-0.14648789651360974,-0.18207902863554914,-0.11403637122735681,0.3316270398801717,0.27245564494681823,0.38683082378246275,200,1000,20260916
test,cifar10,64,final,current_approx,-0.11019102342137707,-0.1319750331945807,-0.08892042615854077,0.3680377057587577,0.3162641358510547,0.4149988217847124,200,1000,20260916
test,cifar10,64,final,uniform_mc,-0.12233193949194388,-0.14152312346650958,-0.10402402073694351,0.39266549948898044,0.3493820281569421,0.431983313628294,200,1000,20260916
