dataset,phase,n,method,time_cap_ms,attained,budget,error
cifar10_gist512,audit,1800,ann_E_single,2.0,True,512.0,0.023011892816058886
cifar10_gist512,audit,1800,ann_E_single,4.0,True,512.0,0.023011892816058886
cifar10_gist512,audit,1800,ann_T_multi,0.125,False,,
cifar10_gist512,audit,1800,ann_T_multi,0.25,False,,
cifar10_gist512,audit,1800,ann_T_multi,0.5,True,32.0,0.24508248897228718
cifar10_gist512,audit,1800,ann_T_multi,1.0,True,512.0,0.050521437890332574
cifar10_gist512,audit,1800,ann_T_multi,2.0,True,512.0,0.050521437890332574
cifar10_gist512,audit,1800,ann_T_multi,4.0,True,512.0,0.050521437890332574
cifar10_gist512,audit,1800,ann_T_single,0.125,False,,
cifar10_gist512,audit,1800,ann_T_single,0.25,True,32.0,0.3307468702902213
cifar10_gist512,audit,1800,ann_T_single,0.5,True,256.0,0.10103384168944843
cifar10_gist512,audit,1800,ann_T_single,1.0,True,512.0,0.06119379602482175
cifar10_gist512,audit,1800,ann_T_single,2.0,True,512.0,0.06119379602482175
cifar10_gist512,audit,1800,ann_T_single,4.0,True,512.0,0.06119379602482175
cifar10_gist512,audit,1800,exact,0.125,False,,
cifar10_gist512,audit,1800,exact,0.25,False,,
cifar10_gist512,audit,1800,exact,0.5,True,0.0,0.0
cifar10_gist512,audit,1800,exact,1.0,True,0.0,0.0
cifar10_gist512,audit,1800,exact,2.0,True,0.0,0.0
cifar10_gist512,audit,1800,exact,4.0,True,0.0,0.0
cifar10_gist512,audit,1800,exact_annular,0.125,False,,
cifar10_gist512,audit,1800,exact_annular,0.25,False,,
cifar10_gist512,audit,1800,exact_annular,0.5,False,,
cifar10_gist512,audit,1800,exact_annular,1.0,True,512.0,0.03656038837087865
cifar10_gist512,audit,1800,exact_annular,2.0,True,512.0,0.03656038837087865
cifar10_gist512,audit,1800,exact_annular,4.0,True,512.0,0.03656038837087865
cifar10_gist512,audit,1800,official_E,0.125,False,,
cifar10_gist512,audit,1800,official_E,0.25,True,64.0,0.1762325392524463
cifar10_gist512,audit,1800,official_E,0.5,True,512.0,0.022137737863319743
cifar10_gist512,audit,1800,official_E,1.0,True,512.0,0.022137737863319743
cifar10_gist512,audit,1800,official_E,2.0,True,512.0,0.022137737863319743
cifar10_gist512,audit,1800,official_E,4.0,True,512.0,0.022137737863319743
cifar10_gist512,audit,1800,official_O,0.125,True,64.0,0.1978062620078486
cifar10_gist512,audit,1800,official_O,0.25,True,512.0,0.04470645383210263
cifar10_gist512,audit,1800,official_O,0.5,True,512.0,0.04470645383210263
cifar10_gist512,audit,1800,official_O,1.0,True,512.0,0.04470645383210263
cifar10_gist512,audit,1800,official_O,2.0,True,512.0,0.04470645383210263
cifar10_gist512,audit,1800,official_O,4.0,True,512.0,0.04470645383210263
cifar10_gist512,audit,1800,official_T,0.125,True,256.0,0.100893452512572
cifar10_gist512,audit,1800,official_T,0.25,True,512.0,0.0607942781190939
cifar10_gist512,audit,1800,official_T,0.5,True,512.0,0.0607942781190939
cifar10_gist512,audit,1800,official_T,1.0,True,512.0,0.0607942781190939
cifar10_gist512,audit,1800,official_T,2.0,True,512.0,0.0607942781190939
cifar10_gist512,audit,1800,official_T,4.0,True,512.0,0.0607942781190939
cifar10_gist512,audit,1800,projected_current,0.125,False,,
cifar10_gist512,audit,1800,projected_current,0.25,False,,
cifar10_gist512,audit,1800,projected_current,0.5,True,256.0,0.06460211183549813
cifar10_gist512,audit,1800,projected_current,1.0,True,512.0,0.032407605989097844
cifar10_gist512,audit,1800,projected_current,2.0,True,512.0,0.032407605989097844
